Rayon,Ingredient,Quantite voulue,Quantite deja disponible,Quantite a acheter,Repas,Note
Fruits et legumes,Pommes de terre,5 kg,,5 kg,19 soir,"Marge incluse, uniquement pour la salade de pommes de terre du soir"
Fruits et legumes,Salades vertes,5 pieces,,5 pieces,19 midi,"Accompagnement croque monsieur"
Fruits et legumes,Concombres,6 pieces,,6 pieces,19 midi + 20 midi,"Ajuster selon stock"
Fruits et legumes,Oignons rouges ou blancs,4 pieces,,4 pieces,20 midi,"Optionnel selon les enfants"
Fruits et legumes,Citrons,5 pieces,,5 pieces,20 midi + 20 soir,"Sauce salade + dessert fraises"
Fruits et legumes,Fraises,6 kg,,6 kg,20 soir,"Dessert tasty crousty"
Fruits et legumes,Pasteques,4 grosses,,4 grosses,19 soir,"Dessert pates carbo"
Fruits et legumes,Tomates,8 kg,,A ajuster,19 midi + 19 soir + 20 midi + 20 soir,"Vous en avez deja beaucoup"
Frais,Jambon,90 tranches,,90 tranches,19 midi,"Marge incluse, base 2 croques par personne"
Frais,Fromage en tranches / emmental,90 tranches,,90 tranches,19 midi,"Pour croque monsieur"
Frais,Lardons,3.5 kg,,3.5 kg,19 soir,"Pates carbonara"
Frais,Creme fraiche ou creme liquide,5 L,,5 L,19 soir,"Pates carbonara"
Frais,Feta,2 kg,,2 kg,20 soir,"Entree tomate feta"
Frais,Yaourt grec,4 kg,,4 kg,20 soir,"Dessert fraises"
Frais,Yaourts nature,8 pots,,8 pots,20 midi,"Sauce salade, peut etre remplace par mayonnaise"
Frais,Oeufs,24 pieces,,A ajuster,19 soir + 20 midi,"Vous en avez deja beaucoup"
Epicerie,Pain de mie,8 grands paquets,,8 grands paquets,19 midi,"Croque monsieur pour 40 avec marge"
Epicerie,Mais,6 grosses boites,,6 grosses boites,19 soir + 20 midi,"Egoutter avant service"
Epicerie,Cornichons,2 bocaux,,2 bocaux,19 soir,"Salade pommes de terre"
Epicerie,Mayonnaise,2 gros pots,,2 gros pots,19 soir + 20 midi,"Sauce salade, completer avec yaourt si possible"
Epicerie,Moutarde douce,1 pot,,1 pot,20 midi,"Sauce legere"
Epicerie,Sucre,2 kg,,2 kg,20 soir,"Dessert fraises"
Epicerie,Thon au naturel,10 boites,,A ajuster,20 midi,"Vous en avez deja"
Epicerie,Pates,6 kg,,A ajuster,19 soir,"Vous en avez deja"
Epicerie,Riz / base tasty crousty,7 kg,,A ajuster,20 soir,"Vous en avez peut-etre deja sur place"
Epicerie,Pate a tartiner,1 gros pot,,A ajuster,Petits dejeuners,"Deja prevu aux petits dejeuners"
Epices et condiments,Sel poivre epices,Stock cuisine,,0,Tous,"Vous avez normalement toutes les epices"
